Accuracy,Precision,Recall,F1-Score,AUC-ROC,Model,Dataset,Run
0.7284768211920529,0.6497960697070819,0.8221690590111643,0.6426551226551227,0.8221690590111642,Naïve Bayes + TF-IDF,pytorch,26
0.6026490066225165,0.6001754385964913,0.7276714513556619,0.5366202945990179,0.7276714513556619,BERT + LSTM,pytorch,26
0.5894039735099338,0.6069796061884669,0.7426236044657097,0.5317126850740296,0.7426236044657096,Naïve Bayes + TF-IDF,pytorch,27
0.8278145695364238,0.5781862745098039,0.5635964912280702,0.5691395961369622,0.5635964912280702,BERT + LSTM,pytorch,27
0.6622516556291391,0.6170231729055258,0.761762360446571,0.5824884792626728,0.7617623604465711,Naïve Bayes + TF-IDF,pytorch,28
0.7748344370860927,0.5715093273035613,0.6008771929824561,0.5789041994750657,0.6008771929824561,BERT + LSTM,pytorch,28
0.7086092715231788,0.615530303030303,0.7432216905901117,0.6062114746325273,0.7432216905901117,Naïve Bayes + TF-IDF,pytorch,29
0.7350993377483444,0.5707417582417582,0.6232057416267942,0.5732052006783492,0.6232057416267942,BERT + LSTM,pytorch,29
0.609271523178808,0.5921237693389592,0.7089314194577352,0.5360137492838914,0.7089314194577352,Naïve Bayes + TF-IDF,pytorch,30
0.8079470198675497,0.6382615546218487,0.7099282296650717,0.657917350207015,0.7099282296650717,BERT + LSTM,pytorch,30
0.6044776119402985,0.6472323049001816,0.7246452059536171,0.5821123859958811,0.7246452059536173,Naïve Bayes + TF-IDF,keras,1
0.6716417910447762,0.662876254180602,0.7528556593977154,0.6358695652173912,0.7528556593977155,BERT + LSTM,keras,1
0.6119402985074627,0.6600592390066073,0.7431637244721356,0.5914634146341463,0.7431637244721356,Naïve Bayes + TF-IDF,keras,2
0.7611940298507462,0.695078031212485,0.781239183108342,0.7061403508771931,0.7812391831083421,BERT + LSTM,keras,2
0.6343283582089553,0.6479910714285715,0.729491173416407,0.6041478266112015,0.729491173416407,Naïve Bayes + TF-IDF,keras,3
0.753731343283582,0.6209568733153639,0.6242644513672551,0.6225352112676057,0.6242644513672551,BERT + LSTM,keras,3
0.6194029850746269,0.6730769230769231,0.7616822429906542,0.6007011393514461,0.7616822429906542,Naïve Bayes + TF-IDF,keras,4
0.753731343283582,0.6653726708074534,0.7211838006230529,0.6779549923530697,0.7211838006230529,BERT + LSTM,keras,4
0.6417910447761194,0.6698854704693464,0.7618553132571824,0.6171428571428571,0.7618553132571824,Naïve Bayes + TF-IDF,keras,5
0.6865671641791045,0.6375143843498274,0.7068189685012114,0.6309992132179386,0.7068189685012115,BERT + LSTM,keras,5
0.6044776119402985,0.6577380952380952,0.7384908272758739,0.5850423605024831,0.7384908272758739,Naïve Bayes + TF-IDF,keras,6
0.7388059701492538,0.6545454545454545,0.7118380062305296,0.6646886394509186,0.7118380062305295,BERT + LSTM,keras,6
0.5970149253731343,0.6345762711864407,0.7061266874350987,0.5726435152374203,0.7061266874350987,Naïve Bayes + TF-IDF,keras,7
0.7238805970149254,0.6653377110694184,0.7440290758047767,0.6679391869265288,0.7440290758047767,BERT + LSTM,keras,7
0.6492537313432836,0.6629464285714286,0.7526825891311872,0.6203050581780913,0.7526825891311874,Naïve Bayes + TF-IDF,keras,8
0.7388059701492538,0.6879629629629629,0.7810661128418137,0.6903677295834159,0.7810661128418138,BERT + LSTM,keras,8
0.5223880597014925,0.6105642256902761,0.6593977154724818,0.5091575091575091,0.6593977154724818,Naïve Bayes + TF-IDF,keras,9
0.7611940298507462,0.695078031212485,0.781239183108342,0.7061403508771931,0.7812391831083421,BERT + LSTM,keras,9
0.5373134328358209,0.6266506602641057,0.682589131187262,0.524496336996337,0.682589131187262,Naïve Bayes + TF-IDF,keras,10
0.7686567164179104,0.6771276595744681,0.7305295950155763,0.691542288557214,0.7305295950155762,BERT + LSTM,keras,10
0.5895522388059702,0.6423992673992674,0.7152994115610938,0.5693835816535203,0.7152994115610939,Naïve Bayes + TF-IDF,keras,11
0.7313432835820896,0.6561506480802152,0.7210107303565247,0.6639732516021175,0.7210107303565247,BERT + LSTM,keras,11
0.5746268656716418,0.648921200750469,0.7197992384908273,0.5592868270728752,0.7197992384908273,Naïve Bayes + TF-IDF,keras,12
0.7014925373134329,0.6529344073647871,0.7300103842159917,0.6485706792551797,0.7300103842159915,BERT + LSTM,keras,12
0.5597014925373134,0.6569767441860466,0.7242990654205608,0.5486154724521838,0.7242990654205608,Naïve Bayes + TF-IDF,keras,13
0.582089552238806,0.6002682763246143,0.6552440290758048,0.549579831932773,0.6552440290758047,BERT + LSTM,keras,13
0.6194029850746269,0.662431941923775,0.7478366216683974,0.5978817299205649,0.7478366216683972,Naïve Bayes + TF-IDF,keras,14
0.7313432835820896,0.6910457963089542,0.7902388369678088,0.687888198757764,0.790238836967809,BERT + LSTM,keras,14
0.6044776119402985,0.6371621621621621,0.7107995846313603,0.5789411276456987,0.7107995846313602,Naïve Bayes + TF-IDF,keras,15
0.7835820895522388,0.6613247863247864,0.6568016614745587,0.6589732338745065,0.6568016614745587,BERT + LSTM,keras,15
0.6194029850746269,0.6330357142857143,0.7062997577016268,0.5879905950443118,0.706299757701627,Naïve Bayes + TF-IDF,keras,16
0.7761194029850746,0.6346396965865992,0.6105919003115264,0.6193181818181819,0.6105919003115264,BERT + LSTM,keras,16
0.6194029850746269,0.662431941923775,0.7478366216683974,0.5978817299205649,0.7478366216683972,Naïve Bayes + TF-IDF,keras,17
0.6716417910447762,0.6142557651991614,0.6697819314641744,0.6079787234042553,0.6697819314641745,BERT + LSTM,keras,17
0.6194029850746269,0.6522522522522523,0.7339910003461405,0.5948301416968045,0.7339910003461407,Naïve Bayes + TF-IDF,keras,18
0.7910447761194029,0.6879687968796879,0.7168570439598476,0.6993589743589743,0.7168570439598476,BERT + LSTM,keras,18
0.5522388059701493,0.6309945665012994,0.6919349255797854,0.5373993095512083,0.6919349255797855,Naïve Bayes + TF-IDF,keras,19
0.7761194029850746,0.7053069210075813,0.7905849775008653,0.7199777096684312,0.7905849775008653,BERT + LSTM,keras,19
0.5597014925373134,0.6569767441860466,0.7242990654205608,0.5486154724521838,0.7242990654205608,Naïve Bayes + TF-IDF,keras,20
0.7164179104477612,0.6468187274909964,0.7116649359640014,0.6510416666666666,0.7116649359640013,BERT + LSTM,keras,20
0.6119402985074627,0.6600592390066073,0.7431637244721356,0.5914634146341463,0.7431637244721356,Naïve Bayes + TF-IDF,keras,21
0.7985074626865671,0.6785714285714286,0.6523018345448252,0.662845960301929,0.6523018345448252,BERT + LSTM,keras,21
0.5447761194029851,0.6174953095684803,0.6734164070612668,0.528359586867463,0.6734164070612668,Naïve Bayes + TF-IDF,keras,22
0.7686567164179104,0.6605882352941177,0.6889927310488058,0.6710224122911222,0.6889927310488059,BERT + LSTM,keras,22
0.5597014925373134,0.6332082551594747,0.696607822776047,0.5438232069701692,0.6966078227760472,Naïve Bayes + TF-IDF,keras,23
0.8283582089552238,0.7329545454545454,0.6986846659743856,0.7127947069238654,0.6986846659743855,BERT + LSTM,keras,23
0.6044776119402985,0.6577380952380952,0.7384908272758739,0.5850423605024831,0.7384908272758739,Naïve Bayes + TF-IDF,keras,24
